v_w,alpha,model,f_p,omega_p
0.1,0.01,SSM,0.005309470544028829,5.339450377264011e-13
0.1,0.01,Bub,0.00531044380500373,4.139106213988766e-17
0.1,0.01,Mixed,0.005309470892969659,3.4172569848252034e-13
0.1,0.03,SSM,0.005309470544029041,8.957277548553154e-12
0.1,0.03,Bub,0.005310443805003725,6.943621635572977e-16
0.1,0.03,Mixed,0.0053094707169325205,5.7326683912407235e-12
0.1,0.1,SSM,0.0053094705440289896,1.520245482221812e-10
0.1,0.1,Bub,0.005310443805003852,1.1784841280755508e-14
0.1,0.1,Mixed,0.005309470629702466,9.729586062405066e-11
0.1,0.3,SSM,0.0053094705440289046,1.4008057176388634e-09
0.1,0.3,Bub,0.005310443805003263,1.085895221567919e-13
0.1,0.3,Mixed,0.005309470593611658,8.965169139643988e-10
0.1,0.6,SSM,0.005309470544028829,4.354574769400595e-09
0.1,0.6,Bub,0.005310443805003555,3.3756372311376886e-13
0.1,0.6,Mixed,0.005309470581607179,2.786931623190446e-09
0.1,1.0,SSM,0.005309470544028947,8.510583327886059e-09
0.1,1.0,Bub,0.005310443805003607,6.597347263890463e-13
0.1,1.0,Mixed,0.0053094705759592865,5.446780580336515e-09
0.2,0.01,SSM,0.002654738579441919,1.0678902335275121e-12
0.2,0.01,Bub,0.0026552051887716263,3.095329174908195e-16
0.2,0.01,Mixed,0.002654738928986533,6.834546864581103e-13
0.2,0.03,SSM,0.0026547385794419426,1.7914557748912793e-11
0.2,0.03,Bub,0.0026552051887717277,5.1926173229075094e-15
0.2,0.03,Mixed,0.0026547387530258017,1.1465384151352482e-11
0.2,0.1,SSM,0.00265473857944186,3.040491414512992e-10
0.2,0.1,Bub,0.0026552051887717867,8.813004825704077e-14
0.2,0.1,Mixed,0.0026547386658337135,1.9459245948052483e-10
0.2,0.3,SSM,0.0026547385794419,2.8016118499868586e-09
0.2,0.3,Bub,0.002655205188771836,8.120601372472297e-13
0.2,0.3,Mixed,0.002654738629758373,1.7930403797006033e-09
0.2,0.6,SSM,0.0026547385794418645,8.709150827975222e-09
0.2,0.6,Bub,0.002655205188771631,2.524387600910974e-12
0.2,0.6,Mixed,0.002654738617759347,5.573883354295481e-09
0.2,1.0,SSM,0.0026547385794419022,1.7021169175334558e-08
0.2,1.0,Bub,0.0026552051887717702,4.933664517693464e-12
0.2,1.0,Mixed,0.0026547386121138264,1.0893600221374631e-08
0.3,0.01,SSM,0.0017698322461866334,1.6018341060439543e-12
0.3,0.01,Bub,0.0017700830712569658,9.42258300102408e-16
0.3,0.01,Mixed,0.001769832596836653,1.0251873941357843e-12
0.3,0.03,SSM,0.0017698322461866568,2.687181575030692e-11
0.3,0.03,Bub,0.0017700830712569925,1.580699982227417e-14
0.3,0.03,Mixed,0.001769832420413476,1.7198154497783993e-11
0.3,0.1,SSM,0.00176983224618666,4.5607335791554206e-10
0.3,0.1,Bub,0.0017700830712569973,2.682792839346022e-13
0.3,0.1,Mixed,0.0017698323329920994,2.918899190687264e-10
0.3,0.3,SSM,0.0017698322461867008,4.2024145106956355e-09
0.3,0.3,Bub,0.0017700830712570523,2.4720162582585854e-12
0.3,0.3,Mixed,0.0017698322968220449,2.6895715259719235e-09
0.3,0.6,SSM,0.0017698322461865658,1.306371609453729e-08
0.3,0.6,Bub,0.0017700830712569736,7.684562885640649e-12
0.3,0.6,Mixed,0.0017698322847913735,8.360858702227388e-09
0.3,1.0,SSM,0.0017698322461866774,2.5531733930866495e-08
0.3,1.0,Bub,0.0017700830712570224,1.5018713936475987e-11
0.3,1.0,Mixed,0.001769832279131041,1.634046578094617e-08
0.4,0.01,SSM,0.001327372113694225,2.135780757284005e-12
0.4,0.01,Bub,0.0013275863517228693,1.9639315409112255e-15
0.4,0.01,Mixed,0.0013273724638858718,1.3669266903704726e-12
0.4,0.03,SSM,0.0013273721136940824,3.582912036660801e-11
0.4,0.03,Bub,0.0013275863517227338,3.294623726293285e-14
0.4,0.03,Mixed,0.0013273722879896027,2.293102755807743e-11
0.4,0.1,SSM,0.0013273721136941143,6.080983655364358e-10
0.4,0.1,Bub,0.0013275863517227726,5.591695477078672e-13
0.4,0.1,Mixed,0.0013273722008293317,3.8918905622333535e-10
0.4,0.3,SSM,0.001327372113694106,5.603224461390422e-09
0.4,0.3,Bub,0.0013275863517227633,5.152377748979984e-12
0.4,0.3,Mixed,0.0013273721647672403,3.586117879389799e-09
0.4,0.6,SSM,0.0013273721136941,1.7418304022903935e-08
0.4,0.6,Bub,0.0013275863517228034,1.6016792240073084e-11
0.4,0.6,Mixed,0.0013273721527724954,1.1147881064391532e-08
0.4,1.0,SSM,0.0013273721136940729,3.404234297664698e-08
0.4,1.0,Bub,0.0013275863517227527,3.1303227576305896e-11
0.4,1.0,Mixed,0.0013273721471290835,2.17874229869752e-08
0.5,0.01,SSM,0.0010618944503878942,2.6697243308746772e-12
0.5,0.01,Bub,0.0010620829418200627,3.3205570674631557e-15
0.5,0.01,Mixed,0.0010618948018656167,1.7086682870943257e-12
0.5,0.03,SSM,0.0010618944503878742,4.478637335332284e-11
0.5,0.03,Bub,0.001062082941819942,5.57045185694192e-14
0.5,0.03,Mixed,0.0010618946255801268,2.8663931397372806e-11
0.5,0.1,SSM,0.0010618944503878421,7.601224968907372e-10
0.5,0.1,Bub,0.0010620829418200033,9.454272487980775e-13
0.5,0.1,Mixed,0.0010618945382269603,4.864886500551191e-10
0.5,0.3,SSM,0.0010618944503878798,7.004026337866254e-09
0.5,0.3,Bub,0.0010620829418199985,8.711487132936226e-12
0.5,0.3,Mixed,0.001061894502085078,4.482668190276187e-09
0.5,0.6,SSM,0.0010618944503878798,2.1772866851584468e-08
0.5,0.6,Bub,0.0010620829418199996,2.7080716187382647e-11
0.5,0.6,Mixed,0.001061894490063755,1.3934915469808197e-08
0.5,1.0,SSM,0.0010618944503878883,4.2552902967579e-08
0.5,1.0,Bub,0.0010620829418199655,5.292656663311178e-11
0.5,1.0,Mixed,0.001061894484407838,2.7234403492165007e-08
0.6,0.01,SSM,0.0008849137206965632,3.2036686518506307e-12
0.6,0.01,Bub,0.0008850572619827137,4.928732505489301e-15
0.6,0.01,Mixed,0.0008849140722280427,2.0504137982484226e-12
0.6,0.03,SSM,0.0008849137206965774,5.37436388779191e-11
0.6,0.03,Bub,0.0008850572619827537,8.268271431499616e-14
0.6,0.03,Mixed,0.000884913895832926,3.439689309107755e-11
0.6,0.1,SSM,0.0008849137206966001,9.121468410400285e-10
0.6,0.1,Bub,0.000885057261982727,1.4033061073955999e-12
0.6,0.1,Mixed,0.0008849138084254088,5.837891600970204e-10
0.6,0.3,SSM,0.000884913720696582,8.404830175109524e-09
0.6,0.3,Bub,0.0008850572619826987,1.293053813890797e-11
